Item,Description,Quantity,Unit Price(£),Total Price (£),URL
600rpm N10 Gearmotors,Drive Moters,1,11,11,Pair of 600rpm N10 Gearmotors - BBB Shop
100rpm N10 Gearmotor,Weapon Moter,1,6,6,https://shop.bristolbotbuilders.com/product/100n10/
BBB Antweight Dual ESC v3,Drive ESC,1,12.5,12.5,https://shop.bristolbotbuilders.com/product/bbbv3/
Antweight N10/N20 Red ESC,Weapon ESC,1,8.5,8.5,https://shop.bristolbotbuilders.com/product/redesc/
Antweight Switch,switch,1,0.5,0.5,Antweight Switch - BBB Shop
screw pack,screws and threaded inserts,1,13,13,"Swpeet 385Pcs 5 Sizes M2 M2.5 M3 M4 M5 Hex Socket Screws and Brass Threaded Inserts with Nuts Washers Hexagon Wrench Assortment Kit, 304 Stainless Steel Hexagon Socket Head Screws Bolts Nuts Washers : Amazon.co.uk: DIY & Tools"
BetaFPV ELRS Micro ELRS 2.4Ghz PWM 5Ch Receiver,Reciver,1,11.13,11.13,https://www.unmannedtechshop.co.uk/products/betafpv-elrs-micro-elrs-2-4ghz-pwm-5ch-receiver?_pos=3&_sid=f0eb57286&_ss=r
Shipping,shipping,,,3.5,
,,,,66.13,
I already have these,,,Actual amount I need,30.99,
,,,,$48.00,